key,value
[##ANSWER_instruction##],"Certainly, I can answer your questions, help you find what you're looking for, and provide support for wide range of issues. How may I assist you today."
[##ANSWER_greeting##],"Good morning, how can I help you today."
[##ANSWER_question1##],"Donald W. Reynolds Razorback Stadium is an American football stadium in Fayetteville, Arkansas and serves as the home field of the University of Arkansas Razorbacks football team since its opening in 1938. You can catch all the action at 350 N Razorback Rd, Fayetteville, AR 72701."
[##ANSWER_question2##],"As the largest retailer in the world, Walmart meets the needs of more than 260 million customers every week. And we do it wherever they shop--in our stores, online, or through their mobile devices."
[##ANSWER_question3##],"Walmart employs 2.2 million associates worldwide."
[##ANSWER_question4##],"This is the answer to 'question4'"
[##ANSWER_question5##],"This is the answer to 'question5'"
[##ANSWER_question6##],"This is the answer to 'question6'"
[##ANSWER_question7##],"This is the answer to 'question7'"
[##ANSWER_question8##],"This is the answer to 'question8'"
[##ANSWER_question9##],"This is the answer to 'question9'"
[##ANSWER_question10##],"This is the answer to 'question10'"
